t,left_input,right_input,6743,37580,57553,108826,motor_left,motor_right,speed_um_s,turn_rad_s,x_um,y_um
14,0,0,0,0,0,0,0,0,7,0,-11.244898195946007,-94.73668189311866
14.1,0,0,0,0,0,0,0,0,7,0,-11.325218897345621,-95.4133724780695
14.200000000000001,0,0,0,0,0,0,0,0,7,0,-11.405539598745236,-96.09006306302035
14.3,0,0,0,0,0,0,0,0,7,0,-11.48586030014485,-96.7667536479712
14.4,0,0,0,0,0,0,0,0,7,0,-11.566181001544464,-97.44344423292205
14.5,0,0,0,0,0,0,0,0,7,0,-11.646501702944079,-98.1201348178729
14.6,0,0,0,0,0,0,0,0,7,0,-11.726822404343693,-98.79682540282374
14.700000000000001,0,0,0,0,0,0,0,0,7,0,-11.807143105743307,-99.47351598777459
14.8,0,0,0,0,0,0,0,0,7,0,-11.887463807142922,-100.15020657272544
14.9,0,0,0,0,0,0,0,0,7,0,-11.967784508542536,-100.82689715767629
15,0,0,0,0,0,0,0,0,7,0,-12.04810520994215,-101.50358774262713
15.1,0,0,0,0,0,0,0,0,7,0,-12.128425911341765,-102.18027832757798
15.200000000000001,0,0,0,0,0,0,0,0,7,0,-12.208746612741379,-102.85696891252883
15.3,0,0,0,0,0,0,0,0,7,0,-12.289067314140993,-103.53365949747968
15.4,0,0,0,0,0,0,0,0,7,0,-12.369388015540608,-104.21035008243052
15.5,0,0,0,0,0,0,0,0,7,0,-12.449708716940222,-104.88704066738137
15.6,0,0,0,0,0,0,0,0,7,0,-12.530029418339836,-105.56373125233222
15.700000000000001,0,0,0,0,0,0,0,0,7,0,-12.61035011973945,-106.24042183728307
15.8,0,0,0,0,0,0,0,0,7,0,-12.690670821139065,-106.91711242223391
15.9,0,0,0,0,0,0,0,0,7,0,-12.77099152253868,-107.59380300718476
16,0.5868715044784274,0.08925647241236542,0,0,0,0,0,0,7,0,-12.851312223938294,-108.27049359213561
16.1,0.5868201354254221,0.08924865739936809,0.39277896977715765,0.05290624544351419,0.000871908908043516,0.000006135312963496503,0.000003829750420098768,0.000007081659390383988,7.000261873835451,0.000007804581528684528,-12.931633941546352,-108.94718989586863
16.2,0.5868101338220915,0.08924703801129354,0.5573023720942396,0.15174047348487674,0.005685771657109876,0.000123394950371781,0.00007851177024466176,0.0001496947253612495,7.005476955894542,0.00017083909227981055,-13.011994108949239,-109.62410782661937
16.3,0.5868447569711929,0.08925162499043099,0.6262275186135192,0.24470130585054523,0.014335036264913439,0.0006059481514238158,0.000393615922538899,0.0007565904942803402,7.027604954003662,0.0008711389721794588,-13.092575443457918,-110.30234201032181
16.4,0.5869313635563866,0.08926246489408472,0.6551274339607366,0.3195769445431508,0.02547521141227215,0.001752174400874087,0.0011632464395587734,0.0022224923084479555,7.081257729952162,0.002542190085334037,-13.17376734932759,-110.98435488694668
